title,descripcion,salario,experience_text,url,company,location,source,salario_numerico,seniority,years_required,skills
Consultor/A De Riesgo Operacional Y Continuidad Del Negocio,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=5,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Continuidad Operacional,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=5,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor De Compras Ft Tienda Ripley Calama,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=5,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor De Compras Tienda Ripley Calama Pt,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=5,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
"Coronel, Asesor De Venta En Tienda De Retail",nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=5,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor/A Financiero En Tienda De Retail Abc,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=5,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
"Paillaco, Asesor De Venta En Tienda De Retail",nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=5,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista Marketing,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor De Servicio En Tienda De Retail Ft,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
"Analista Contable, Experiencia En Mercado De Valores.",nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor/A Financiero/A Para Tienda Retail Paillaco,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista Contable,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Datos,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor De Compras Tienda Ripley Coquimbo Part Time( Sabado Y Domingo),nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
"San Antonio, Asesor De Venta En Tienda De Retail",nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor De Compras Tienda Ripley Coquimbo (25 Horas Semanales),nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor De Compras Tienda Ripley Coquimbo,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Consultor/A De Belleza Campaña Especial,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor Integral De Ventas En Tienda De Retail Abcdin,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor/A Financiero En Tienda Retial / Cunco,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor/A Financiero/A Para Tienda Retail Cunco,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=3,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor De Tienda Ripley Rancagua,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=3,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor De Tienda Ripley San Fernando,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=3,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
