web-scraper-order,web-scraper-start-url,titulo,descripcion,salario,experiencia
"1762061085-31","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","","","$ 249.000,00 (Mensual)","""
"1762061085-33","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","","","$ 600.000,00 (Mensual)",""
"1762061085-34","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","","","$ 248.999,00 (Mensual)",""
"1762061085-35","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","","","$ 600.000,00 (Mensual)",""
"1762061085-36","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","","","$ 344.000,00 (Mensual)",""
"1762061085-37","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=7","","","$ 320.000,00 (Mensual)",""
"1762061088-38","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6","Analista de mercado freelance","","",""
"1762061088-39","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6","Analista Contable","","",""
"1762061088-40","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6","Analista Contable Junior","","",""
"1762061088-41","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6","Consultor SAP HANA","","",""
"1762061088-42","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6","Asesor de Ventas Full Time Tienda Gotta Easton Outlet Quilicura","","",""
"1762061088-43","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6","Asesor de venta en tienda de retail","","",""
"1762061088-44","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6","Consultor Oracle ERP","","",""
"1762061088-45","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6","Analista Funcional QA","","",""
"1762061088-46","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6","Analista Funcional QA","","",""
"1762061088-47","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6","Asesor/a financiero en tienda retail","","",""
"1762061088-48","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6","Analista Control de Gestión ($2.200.000)","","",""
"1762061088-49","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6","Asesor/a Financiero/a para tienda retail La Union","","",""
"1762061088-50","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6","Asesor de servicio en tienda de retail / FT 44hrs","","",""
"1762061088-51","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6","Asesor de venta en tienda la polar","","",""
"1762061088-52","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6","Asesor/a Financiero/a para tienda retail Ancud","","",""
"1762061088-53","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6","analista crm","","",""
"1762061088-54","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6","Asesor financiero en tienda de retail / 25hrs Cauquenes","","",""
"1762061088-55","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6","Asesor de venta en tienda la polar,  puente","","",""
"1762061088-56","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6","Asesor/a financiero en tienda retial / Antofagasta","","",""
"1762061088-57","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6","Asesor de venta en tienda la polar,  puente","","",""
"1762061088-58","https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=6","","","Remoto",""
