title,descripcion,salario,experience_text,url,company,location,source,salario_numerico
Analista de Recursos Humanos Senior,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=5,No especificada,Chile,Computrabajo,0.0
Consultor/a de Riesgo Operacional y Continuidad del Negocio,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=5,No especificada,Chile,Computrabajo,0.0
Analista de Continuidad Operacional,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=5,No especificada,Chile,Computrabajo,0.0
Asesor de Compras FT Tienda Ripley calama,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=5,No especificada,Chile,Computrabajo,0.0
Asesor de Compras Tienda Ripley Calama PT,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=5,No especificada,Chile,Computrabajo,0.0
"Coronel, Asesor de venta en tienda de retail",nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=5,No especificada,Chile,Computrabajo,0.0
Asesor/a Financiero en tienda de Retail ABC,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=5,No especificada,Chile,Computrabajo,0.0
"Paillaco, Asesor de venta en tienda de retail",nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=5,No especificada,Chile,Computrabajo,0.0
Analista Marketing,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0
Asesor de servicio en tienda de retail FT,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0
"Analista Contable, Experiencia en Mercado de Valores.",nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0
Asesor/a Financiero/a para tienda retail Paillaco,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0
Analista contable,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0
Analista de Datos,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0
Asesor de Compras Tienda Ripley Coquimbo Part time( Sabado y Domingo),nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0
"San Antonio, Asesor de venta en tienda de retail",nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0
Asesor de Compras Tienda Ripley Coquimbo (25 Horas semanales),nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0
Asesor de Compras Tienda Ripley Coquimbo,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0
Consultor/a de Belleza Campaña Especial,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=4,No especificada,Chile,Computrabajo,0.0
